persona_id,mean_happiness,std_happiness,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
1,6.219047619047619,0.7884201002270774,6.219047619047619,6.247023809523809,7.622023809523809,7.074404761904762,6.511904761904762,3.6154761904761905,3.4857142857142858
2,5.860714285714286,0.9695073815602365,5.860714285714286,4.751785714285714,7.722023809523809,6.313690476190477,5.7422619047619055,5.030952380952381,3.4660714285714285
3,5.779166666666667,0.7914358134215115,5.779166666666667,4.355357142857143,7.248214285714286,6.9035714285714285,6.163095238095239,3.0142857142857142,3.4690476190476187
4,5.717261904761905,0.8472605212699514,5.717261904761905,4.668452380952381,7.725595238095239,5.953571428571429,5.670238095238095,4.3238095238095235,3.425595238095238
5,5.711309523809524,0.7583505742473364,5.711309523809524,4.9089285714285715,7.2910714285714295,5.845833333333333,6.191666666666667,3.5589285714285714,3.5374999999999996
6,5.452976190476191,0.8065349208409343,5.452976190476191,4.380357142857143,7.224404761904762,7.160119047619048,6.651190476190477,2.645238095238095,3.4702380952380953
7,5.156547619047619,0.6712554404862382,5.156547619047619,4.683333333333333,6.769642857142857,4.285714285714286,5.319047619047619,2.9964285714285714,3.3744047619047617
8,6.3410714285714285,0.5776256451435525,6.3410714285714285,7.219047619047619,6.663095238095239,7.178571428571429,7.3339285714285705,4.158333333333333,3.5970238095238094
9,6.041071428571429,0.9294729918851455,6.041071428571429,4.711309523809524,8.756547619047618,5.218452380952381,6.04047619047619,3.607142857142857,3.3678571428571424
10,5.496428571428571,0.8069025247419718,5.496428571428571,4.459523809523809,6.908333333333333,6.558928571428572,6.979761904761904,3.201190476190477,3.4529761904761904
11,5.322619047619048,0.6633881717232935,5.322619047619048,5.470833333333333,6.942857142857143,5.8,4.980357142857143,3.9214285714285713,3.5053571428571426
12,5.724404761904761,0.8010066072963943,5.724404761904761,5.057142857142857,7.500595238095237,6.363690476190476,5.701785714285714,3.3922619047619045,3.5071428571428576
13,5.502976190476191,0.8095272691092096,5.502976190476191,4.611309523809523,7.142261904761905,5.588095238095238,5.980357142857143,3.2142857142857144,3.481547619047619
14,5.877976190476191,0.7471678342686755,5.877976190476191,4.405357142857143,6.7910714285714295,6.919047619047619,6.168452380952381,3.238095238095238,3.505952380952381
15,5.630952380952381,0.8622049055869465,5.630952380952381,4.561309523809523,7.723214285714286,5.579761904761905,5.8636904761904765,3.744047619047619,3.4773809523809525
16,5.1761904761904765,0.6540106435062614,5.1761904761904765,4.351190476190476,6.817857142857143,5.892261904761905,5.668452380952381,4.188690476190477,3.4160714285714286
17,5.109523809523809,0.6362425234807443,5.109523809523809,5.148214285714285,7.0410714285714295,6.063095238095238,4.3202380952380945,2.5464285714285717,3.5452380952380955
18,5.226785714285715,0.662286695757509,5.226785714285715,5.074404761904762,6.968452380952381,5.398809523809524,4.606547619047619,3.2589285714285716,3.4065476190476187
19,6.066071428571429,0.8417345529139796,6.066071428571429,5.747619047619048,7.258928571428571,7.076785714285715,6.267261904761905,4.307738095238095,3.4517857142857142
20,3.7791666666666663,0.38086377345495614,3.7791666666666663,2.8464285714285715,6.397619047619047,5.7023809523809526,4.339880952380953,1.9386904761904762,3.3892857142857142
