grouping,group_value,metric,mean_bias,std_bias,median_bias,count,p_value_anova,p_value_vs_real,p_value_vs_zero,p_value,f_statistic,t_statistic,significant,significantly_different_from_real,p_value_vs_real_bonferroni,significantly_different_from_real_bonferroni
global_north_south,Global South,diff_overall_happiness,0.43743577981651377,0.9844695487510073,0.2559999999999998,436,5.704239481373548e-09,8.18402194443564e-19,8.184021944435698e-19,8.18402194443564e-19,34.96526964069134,9.278019061214849,True,True,2.9462478999968304e-16,True
global_north_south,Global South,diff_life_evaluation,0.43743577981651377,0.9844695487510073,0.2559999999999998,436,5.704239481373548e-09,8.18402194443564e-19,8.184021944435698e-19,8.18402194443564e-19,34.96526964069134,9.278019061214849,True,True,2.9462478999968304e-16,True
global_north_south,Global North,diff_gdp,4.421342105263157,0.47457395778056405,4.401,76,1.1445996723208767e-20,7.443069856908204e-75,7.443069856908204e-75,7.443069856908204e-75,101.40335935370024,81.21888323494835,True,True,2.679505148486953e-72,True
global_north_south,Global South,diff_gdp,3.699678899082569,0.5582281363201136,3.7165,218,1.1445996723208767e-20,1.706064453565301e-181,1.706064453565301e-181,1.706064453565301e-181,101.40335935370024,97.85444475215179,True,True,6.141832032835084e-179,True
global_north_south,Global North,diff_social_support,6.418723684210526,0.4719859771556555,6.476499999999999,76,0.5865145299294121,4.4436139187512435e-87,4.4436139187512435e-87,4.4436139187512435e-87,0.2964778486973856,118.55677600674886,True,True,1.5997010107504477e-84,True
global_north_south,Global South,diff_social_support,6.380110091743119,0.5516924248190815,6.464,218,0.5865145299294121,2.946321349131314e-233,2.946321349131314e-233,2.946321349131314e-233,0.2964778486973856,170.7494835374776,True,True,1.060675685687273e-230,True
global_north_south,Global North,diff_health,5.9825,0.22582279188189364,6.004,76,0.00016859281899959312,9.795864146983947e-109,9.795864146983947e-109,9.795864146983947e-109,14.528826379147427,230.95200189864326,True,True,3.526511092914221e-106,True
global_north_south,Global South,diff_health,5.824462962962963,0.33550974549117446,5.795,216,0.00016859281899959312,7.276584624639092e-269,7.276584624639092e-269,7.276584624639092e-269,14.528826379147427,255.13945529263833,True,True,2.6195704648700732e-266,True
global_north_south,Global North,diff_freedom,6.253723684210526,0.46755116935466207,6.2865,76,1.2613040408318707e-15,1.5332376472489983e-86,1.5332376472489983e-86,1.5332376472489983e-86,71.71312438845924,116.60477546414984,True,True,5.519655530096394e-84,True
global_north_south,Global South,diff_freedom,5.432939814814815,0.7975640886039587,5.46,216,1.2613040408318707e-15,2.3952764772674437e-182,2.3952764772674437e-182,2.3952764772674437e-182,71.71312438845924,100.11431462147083,True,True,8.622995318162797e-180,True
