persona_id,mean_happiness,std_happiness,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
1,6.423809523809524,0.828333446645075,6.423809523809524,,,,,,
2,5.877380952380952,1.0822300319387859,5.877380952380952,,,,,,
3,5.858928571428571,0.8755720359153717,5.858928571428571,,,,,,
4,5.58452380952381,0.9509521289347429,5.58452380952381,,,,,,
5,5.595238095238095,0.8549125055074334,5.595238095238095,,,,,,
6,5.349404761904762,0.918342494379508,5.349404761904762,,,,,,
7,4.980357142857143,0.7527402179750043,4.980357142857143,,,,,,
8,6.558928571428572,0.5906791338610035,6.558928571428572,,,,,,
9,5.895238095238095,1.0317597039445645,5.895238095238095,,,,,,
10,5.463095238095238,0.8856513908333082,5.463095238095238,,,,,,
11,5.288690476190476,0.7082427943277201,5.288690476190476,,,,,,
12,5.751785714285714,0.907782269279066,5.751785714285714,,,,,,
13,5.397619047619047,0.9339217665213297,5.397619047619047,,,,,,
14,6.007142857142857,0.8120036155616557,6.007142857142857,,,,,,
15,5.468452380952381,0.9701003022993258,5.468452380952381,,,,,,
16,5.0738095238095235,0.7155449407996421,5.0738095238095235,,,,,,
17,5.1345238095238095,0.7456852408835972,5.1345238095238095,,,,,,
18,5.155952380952381,0.7258859860781968,5.155952380952381,,,,,,
19,6.264285714285715,0.8754321919309043,6.264285714285715,,,,,,
20,3.5154761904761904,0.38473695738233904,3.5154761904761904,,,,,,
