persona_id,mean_happiness,std_happiness,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
1,6.125,0.8536466334791576,6.125,,,,,,
2,5.626785714285714,1.1073231040670488,5.626785714285714,,,,,,
3,5.629761904761905,0.9183139668836555,5.629761904761905,,,,,,
4,5.556547619047619,0.9978803812100318,5.556547619047619,,,,,,
5,5.457142857142857,0.8709256847354473,5.457142857142857,,,,,,
6,5.207142857142857,0.9061051365000578,5.207142857142857,,,,,,
7,4.969047619047619,0.8029848792360424,4.969047619047619,,,,,,
8,6.391071428571429,0.6935831080710801,6.391071428571429,,,,,,
9,5.829166666666667,1.0863526939482882,5.829166666666667,,,,,,
10,5.204761904761905,0.8573604894322248,5.204761904761905,,,,,,
11,5.398809523809524,0.731251744067778,5.398809523809524,,,,,,
12,5.858928571428571,0.9208386152559255,5.858928571428571,,,,,,
13,5.274404761904762,0.9288455924360989,5.274404761904762,,,,,,
14,5.619642857142857,0.8576013708047341,5.619642857142857,,,,,,
15,5.276785714285714,0.9479870393948248,5.276785714285714,,,,,,
16,5.071428571428571,0.8227413543664701,5.071428571428571,,,,,,
17,5.076785714285714,0.80492296758559,5.076785714285714,,,,,,
18,5.3,0.7736684524080695,5.3,,,,,,
19,6.454761904761905,0.8579190478546324,6.454761904761905,,,,,,
20,3.5470238095238096,0.38113062108405255,3.5470238095238096,,,,,,
