grouping,group_value,metric,mean_bias,std_bias,median_bias,count,p_value_anova,p_value_vs_real,p_value_vs_zero,p_value,f_statistic,t_statistic,significant,significantly_different_from_real
global_north_south,Global North,diff_overall_happiness,0.5191052631578946,0.35646195274577946,0.49700000000000033,38,0.7689163457319227,2.2250738585072014e-308,,2.2250738585072014e-308,43.57708098528735,8.977058360861232,True,True
global_north_south,Global South,diff_overall_happiness,1.446724770642202,0.8387282135113814,1.3679999999999994,109,0.7689163457319227,2.2250738585072014e-308,,2.2250738585072014e-308,43.57708098528735,18.00851550742897,True,True
global_north_south,Global North,diff_life_evaluation,0.5191052631578946,0.35646195274577946,0.49700000000000033,38,0.7689163457319227,2.2250738585072014e-308,,2.2250738585072014e-308,43.57708098528735,8.977058360861232,True,True
global_north_south,Global South,diff_life_evaluation,1.446724770642202,0.8387282135113814,1.3679999999999994,109,0.7689163457319227,2.2250738585072014e-308,,2.2250738585072014e-308,43.57708098528735,18.00851550742897,True,True
global_north_south,Global North,diff_gdp,4.650289473684211,0.37695694125705886,4.596500000000001,38,0.7417986581965452,2.2250738585072014e-308,,2.2250738585072014e-308,50.470830794602406,76.04664196882293,True,True
global_north_south,Global South,diff_gdp,3.950183486238532,0.5645405894461247,4.079000000000001,109,0.7417986581965452,2.2250738585072014e-308,,2.2250738585072014e-308,50.470830794602406,73.05254419922066,True,True
global_north_south,Global North,diff_social_support,6.8532631578947365,0.1698245014969191,6.859000000000001,38,0.9998493608678248,2.2250738585072014e-308,,2.2250738585072014e-308,0.02184596502261647,248.7647601151599,True,True
global_north_south,Global South,diff_social_support,6.860155963302753,0.2690587218816575,6.846,109,0.9998493608678248,2.2250738585072014e-308,,2.2250738585072014e-308,0.02184596502261647,266.19516533388355,True,True
global_north_south,Global North,diff_health,6.156447368421053,0.14883742216301254,6.154999999999999,38,0.9733490339753681,2.2250738585072014e-308,,2.2250738585072014e-308,3.9428190439279858,254.98217998475488,True,True
global_north_south,Global South,diff_health,6.082611111111111,0.21129948774251475,6.084,108,0.9733490339753681,2.2250738585072014e-308,,2.2250738585072014e-308,3.9428190439279858,299.159972407476,True,True
global_north_south,Global North,diff_freedom,6.613,0.25227912469476477,6.6165,38,0.7571036607451423,2.2250738585072014e-308,,2.2250738585072014e-308,46.198525599882885,161.58796274149194,True,True
global_north_south,Global South,diff_freedom,5.929120370370371,0.600800894096809,6.072500000000001,108,0.7571036607451423,2.2250738585072014e-308,,2.2250738585072014e-308,46.198525599882885,102.55847978833047,True,True
global_north_south,Global North,diff_generosity,4.082815789473684,0.3576153645093338,4.093500000000001,38,0.8866922732771755,2.2250738585072014e-308,,2.2250738585072014e-308,18.529111925252717,70.3777558850314,True,True
global_north_south,Global South,diff_generosity,3.8214403669724772,0.30929960996708356,3.777,109,0.8866922732771755,2.2250738585072014e-308,,2.2250738585072014e-308,18.529111925252717,128.99146151837118,True,True
global_north_south,Global North,diff_corruption,5.583631578947369,1.7471002295085394,5.58,38,0.4148608667977257,2.2250738585072014e-308,,2.2250738585072014e-308,203.10432225512915,19.701111654232484,True,True
global_north_south,Global South,diff_corruption,2.5264074074074077,0.8278830907243089,2.4025,108,0.4148608667977257,2.2250738585072014e-308,,2.2250738585072014e-308,203.10432225512915,31.713651644361374,True,True
world_123,World 1,diff_overall_happiness,0.38949999999999996,0.33076876543965916,0.43099999999999955,22,0.7889749108703,3.678088056346951e-09,3.678088056346951e-09,3.678088056346951e-09,19.25765472133767,5.523245025940946,True,True
world_123,World 2,diff_overall_happiness,1.2959137931034481,0.7914565281694308,1.1374999999999993,116,0.7889749108703,2.2250738585072014e-308,,2.2250738585072014e-308,19.25765472133767,17.635104654053492,True,True
world_123,World 3,diff_overall_happiness,2.058222222222222,1.0275114084254464,1.654,9,0.7889749108703,1.0367817715462024e-10,1.0367817715462024e-10,1.0367817715462024e-10,19.25765472133767,6.009341225834852,True,True
world_123,World 1,diff_life_evaluation,0.38949999999999996,0.33076876543965916,0.43099999999999955,22,0.7889749108703,3.678088056346951e-09,3.678088056346951e-09,3.678088056346951e-09,19.25765472133767,5.523245025940946,True,True
world_123,World 2,diff_life_evaluation,1.2959137931034481,0.7914565281694308,1.1374999999999993,116,0.7889749108703,2.2250738585072014e-308,,2.2250738585072014e-308,19.25765472133767,17.635104654053492,True,True
world_123,World 3,diff_life_evaluation,2.058222222222222,1.0275114084254464,1.654,9,0.7889749108703,1.0367817715462024e-10,1.0367817715462024e-10,1.0367817715462024e-10,19.25765472133767,6.009341225834852,True,True
world_123,World 1,diff_gdp,4.8305,0.3689369219540823,4.8705,22,0.7505175368727568,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,23.93380096087872,61.41172644858508,True,True
world_123,World 2,diff_gdp,4.028793103448276,0.5469140703070731,4.137499999999999,116,0.7505175368727568,2.2250738585072014e-308,,2.2250738585072014e-308,23.93380096087872,79.3386603629871,True,True
world_123,World 3,diff_gdp,3.7411111111111115,0.6007870763516068,3.755,9,0.7505175368727568,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,23.93380096087872,18.681049867931833,True,True
world_123,World 1,diff_social_support,6.899409090909091,0.16187051235652128,6.8875,22,0.9861568174796781,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.0107004522977074,199.91965591727674,True,True
world_123,World 2,diff_social_support,6.844129310344828,0.23389055523702826,6.836,116,0.9861568174796781,2.2250738585072014e-308,,2.2250738585072014e-308,1.0107004522977074,315.16248495109596,True,True
world_123,World 3,diff_social_support,6.941666666666666,0.49021882868776057,6.935,9,0.9861568174796781,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.0107004522977074,42.48102843325149,True,True
world_123,World 1,diff_health,6.188818181818181,0.16813419707218455,6.1795,22,0.9320116568477776,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,5.215778686529727,172.6485797664304,True,True
world_123,World 2,diff_health,6.097486956521739,0.1927067750344152,6.085000000000001,115,0.9320116568477776,2.2250738585072014e-308,,2.2250738585072014e-308,5.215778686529727,339.31481079179633,True,True
world_123,World 3,diff_health,5.9446666666666665,0.2578962969877622,5.888,9,0.9320116568477776,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,5.215778686529727,69.15182656091521,True,True
world_123,World 1,diff_freedom,6.667000000000001,0.2926914513857309,6.7745,22,0.7848785182804427,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,19.596900137675238,106.83947796456663,True,True
world_123,World 2,diff_freedom,6.054939130434782,0.5694076221144602,6.16,115,0.7848785182804427,2.2250738585072014e-308,,2.2250738585072014e-308,19.596900137675238,114.03428016173524,True,True
world_123,World 3,diff_freedom,5.405222222222222,0.6819427721183386,5.565,9,0.7848785182804427,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,19.596900137675238,23.778632650208273,True,True
world_123,World 1,diff_generosity,4.271454545454546,0.31976207334482865,4.26,22,0.7761907662895486,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,20.760701527259943,62.655641139041435,True,True
world_123,World 2,diff_generosity,3.8250431034482757,0.3037016668932904,3.774,116,0.7761907662895486,2.2250738585072014e-308,,2.2250738585072014e-308,20.760701527259943,135.6494860049599,True,True
world_123,World 3,diff_generosity,3.778555555555556,0.23247478955314235,3.7400000000000007,9,0.7761907662895486,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,20.760701527259943,48.76084279269948,True,True
world_123,World 1,diff_corruption,6.524318181818182,1.5766588055687536,6.702,22,0.3948289830120677,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,109.59106240008387,19.409249936649076,True,True
world_123,World 2,diff_corruption,2.816095652173913,1.0394678967213293,2.556,115,0.3948289830120677,2.2250738585072014e-308,,2.2250738585072014e-308,109.59106240008387,29.052615824497654,True,True
world_123,World 3,diff_corruption,1.9604444444444442,0.4874041216257591,2.092,9,0.3948289830120677,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,109.59106240008387,12.06664669497638,True,True
continent,Africa,diff_overall_happiness,1.7215833333333332,0.6358917086670617,1.8560000000000005,12,0.6521084671630967,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,12.448035117289022,9.37854594471009,True,True
continent,Asia,diff_overall_happiness,1.4299565217391306,0.9891013588220954,1.0780000000000003,23,0.6521084671630967,5.10702591327572e-14,5.10702591327572e-14,5.10702591327572e-14,12.448035117289022,6.933395149805487,True,True
continent,Europe,diff_overall_happiness,0.5783333333333333,0.3813642178635362,0.492,33,0.6521084671630967,2.2250738585072014e-308,,2.2250738585072014e-308,12.448035117289022,8.711546359871923,True,True
continent,North America,diff_overall_happiness,0.4038888888888888,0.2298909765760961,0.4429999999999996,9,0.6521084671630967,2.0871121275689575e-08,2.0871121275689575e-08,2.0871121275689575e-08,12.448035117289022,5.270614291664438,True,True
continent,Oceania,diff_overall_happiness,0.38949999999999996,0.026162950903901597,0.38949999999999996,2,0.6521084671630967,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,12.448035117289022,21.054054054054603,True,True
continent,Other,diff_overall_happiness,1.6099827586206898,0.8037201767434592,1.4590000000000005,58,0.6521084671630967,2.2250738585072014e-308,,2.2250738585072014e-308,12.448035117289022,15.25563715930169,True,True
continent,South America,diff_overall_happiness,0.6992999999999999,0.24752196311079594,0.7235,10,0.6521084671630967,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,12.448035117289022,8.934078980158565,True,True
continent,Africa,diff_life_evaluation,1.7215833333333332,0.6358917086670617,1.8560000000000005,12,0.6521084671630967,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,12.448035117289022,9.37854594471009,True,True
continent,Asia,diff_life_evaluation,1.4299565217391306,0.9891013588220954,1.0780000000000003,23,0.6521084671630967,5.10702591327572e-14,5.10702591327572e-14,5.10702591327572e-14,12.448035117289022,6.933395149805487,True,True
continent,Europe,diff_life_evaluation,0.5783333333333333,0.3813642178635362,0.492,33,0.6521084671630967,2.2250738585072014e-308,,2.2250738585072014e-308,12.448035117289022,8.711546359871923,True,True
continent,North America,diff_life_evaluation,0.4038888888888888,0.2298909765760961,0.4429999999999996,9,0.6521084671630967,2.0871121275689575e-08,2.0871121275689575e-08,2.0871121275689575e-08,12.448035117289022,5.270614291664438,True,True
continent,Oceania,diff_life_evaluation,0.38949999999999996,0.026162950903901597,0.38949999999999996,2,0.6521084671630967,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,12.448035117289022,21.054054054054603,True,True
continent,Other,diff_life_evaluation,1.6099827586206898,0.8037201767434592,1.4590000000000005,58,0.6521084671630967,2.2250738585072014e-308,,2.2250738585072014e-308,12.448035117289022,15.25563715930169,True,True
continent,South America,diff_life_evaluation,0.6992999999999999,0.24752196311079594,0.7235,10,0.6521084671630967,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,12.448035117289022,8.934078980158565,True,True
continent,Africa,diff_gdp,3.7310833333333338,0.5717924700342586,3.711,12,0.8503878145916627,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,4.105128193232027,22.604095853936613,True,True
continent,Asia,diff_gdp,4.106565217391304,0.9293341617468515,4.3660000000000005,23,0.8503878145916627,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,4.105128193232027,21.19194121206692,True,True
continent,Europe,diff_gdp,4.481030303030303,0.4553881918792257,4.446,33,0.8503878145916627,2.2250738585072014e-308,,2.2250738585072014e-308,4.105128193232027,56.52662883191279,True,True
continent,North America,diff_gdp,4.313888888888889,0.2239176435904756,4.375,9,0.8503878145916627,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,4.105128193232027,57.79654724455651,True,True
continent,Oceania,diff_gdp,4.62,0.07495331880577395,4.62,2,0.8503878145916627,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,4.105128193232027,87.16981132075482,True,True
continent,Other,diff_gdp,3.984965517241379,0.4749057142071146,4.077500000000001,58,0.8503878145916627,2.2250738585072014e-308,,2.2250738585072014e-308,4.105128193232027,63.90445999301326,True,True
continent,South America,diff_gdp,4.099,0.5764625843115151,4.274,10,0.8503878145916627,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,4.105128193232027,22.485719770540285,True,True
continent,Africa,diff_social_support,6.8773333333333335,0.2820542608446219,6.784999999999999,12,0.9731858997761849,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,0.6429011545477347,84.4652423845664,True,True
continent,Asia,diff_social_support,6.89704347826087,0.3672856800244028,6.91,23,0.9731858997761849,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,0.6429011545477347,90.05812186444135,True,True
continent,Europe,diff_social_support,6.799121212121213,0.16341564291243613,6.835000000000001,33,0.9731858997761849,2.2250738585072014e-308,,2.2250738585072014e-308,0.6429011545477347,239.01003018030858,True,True
continent,North America,diff_social_support,6.871111111111111,0.1138655396119085,6.892999999999999,9,0.9731858997761849,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,0.6429011545477347,181.03223682591224,True,True
continent,Oceania,diff_social_support,6.825500000000001,0.04596194077712524,6.825500000000001,2,0.9731858997761849,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,0.6429011545477347,210.01538461538624,True,True
continent,Other,diff_social_support,6.883396551724139,0.2540662256291549,6.867000000000001,58,0.9731858997761849,2.2250738585072014e-308,,2.2250738585072014e-308,0.6429011545477347,206.33355026155613,True,True
continent,South America,diff_social_support,6.792199999999999,0.13579052495173116,6.8415,10,0.9731858997761849,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,0.6429011545477347,158.17614911666837,True,True
continent,Africa,diff_health,6.051916666666667,0.22647434465713487,6.075000000000001,12,0.9230362758731179,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.931660747120909,92.56878226722627,True,True
continent,Asia,diff_health,6.012869565217391,0.2599963818538155,5.992999999999999,23,0.9230362758731179,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.931660747120909,110.91196423899014,True,True
continent,Europe,diff_health,6.152060606060606,0.14133314795942634,6.166,33,0.9230362758731179,2.2250738585072014e-308,,2.2250738585072014e-308,1.931660747120909,250.05384842174018,True,True
continent,North America,diff_health,6.188888888888889,0.10423344526163904,6.184,9,0.9230362758731179,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.931660747120909,178.12580808455436,True,True
continent,Oceania,diff_health,6.157,0.025455844122716675,6.157,2,0.9230362758731179,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.931660747120909,342.05555555555105,True,True
continent,Other,diff_health,6.08940350877193,0.20222705234897315,6.077,57,0.9230362758731179,2.2250738585072014e-308,,2.2250738585072014e-308,1.931660747120909,227.33846815632674,True,True
continent,South America,diff_health,6.182,0.1630718996162258,6.181000000000001,10,0.9230362758731179,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308,1.931660747120909,119.88086568665807,True,True
